,raw_acc,raw_vacc,raw_loss,raw_vloss
33,0.94970936,0.9263973236083984,0.13642679851873782,0.20196315233853884
34,0.9479561,0.9153292775154114,0.1352995430805388,0.27080654655956865
35,0.9470333,0.8195905089378357,0.13036924673340095,0.7309015299248709
36,0.95469224,0.7675705552101135,0.12119359393358571,0.7186132814069282
37,0.95616865,0.7830658555030823,0.11870860786436668,0.7053444290257409
38,0.9542309,0.860542356967926,0.11439141127729235,0.36623254147866935
39,0.96152073,0.8732706308364868,0.10070966246702953,0.47618781868832244
40,0.95054436,0.9584717750549316,0.12968019899829855,0.10169210567954899
41,0.95829487,0.6699889302253723,0.10962506023571267,1.342675597752431
42,0.96097064,0.9756367802619934,0.10468185810132657,0.06385132206700833
43,0.9616165,0.9667773842811584,0.09877834348879379,0.07811826804151567
44,0.96097064,0.9745293259620667,0.10150540655835966,0.06939897376833563
45,0.96816754,0.9313399791717529,0.085263939931491,0.18252130372579708
46,0.9660454,0.9025470614433289,0.0887957968451612,0.2612763108605166
47,0.9702897,0.9413067698478699,0.07889624459840512,0.18828352117046698
48,0.9702897,0.9540420770645142,0.07688078594028477,0.11666025856462361
49,0.9709356,0.9640088677406311,0.07903087486601125,0.08625275890032451
50,0.9700129,0.9634551405906677,0.07852062327788312,0.09149129087247722
51,0.9728732,0.9424141645431519,0.07346394886528243,0.15508145533691872
52,0.97278094,0.9291251301765442,0.07386721438750787,0.20247092610379785
53,0.97361135,0.9496123790740967,0.06919832084988575,0.1360557770659757
54,0.9758258,0.9318937063217163,0.06541928505065432,0.17423529692761525
55,0.97425723,0.9263566136360168,0.06995757920825643,0.20851381483631146
56,0.97674847,0.9130675792694092,0.06435410114402898,0.2888068126675447
57,0.97508764,0.8394241333007812,0.06310572758475795,0.5188366922231211
58,0.9758258,0.9512735605239868,0.06685994066793659,0.14747258832684387
59,0.98025465,0.8754152655601501,0.05714446464943603,0.45853363271237474
60,0.9708433,0.9651162624359131,0.08219062274830283,0.0722090425436485
61,0.979332,0.9767441749572754,0.05880670158581268,0.07259890510559346
62,0.9739804,0.9557031989097595,0.07443474695872922,0.11502003338773749
63,0.97887063,0.9518272280693054,0.06317688093520185,0.12857843464362134
64,0.97564125,0.8920266032218933,0.0680276164604572,0.2828386130774701
65,0.97942424,0.8859357833862305,0.05210090282232719,0.33305940997466066
66,0.9762871,0.5437430739402771,0.06883737301544347,3.252143288432808
67,0.9570031,0.9828349947929382,0.11621995711732469,0.05370738076361707
68,0.9752722,0.9772979021072388,0.06655937438054946,0.059639800740751425
69,0.97997785,0.9856035709381104,0.051172780500655136,0.037747387672183524
70,0.9815464,0.9772979021072388,0.051112770035719936,0.06487187586445259
71,0.97794795,0.9590254426002502,0.057759158567287076,0.10661078043125265
72,0.983484,0.985049843788147,0.0473840670090586,0.03951648550452551
73,0.9832995,0.9878183603286743,0.046707328640283374,0.03319679472765242
74,0.9832995,0.9252491593360901,0.048408330553597105,0.24825806219382407
