,hog_acc,hog_vacc,hog_loss,hog_vloss
0,0.733321,0.369673490524292,0.5976671903591221,1.583007693026827
1,0.7579588,0.5633646845817566,0.5116537492015854,3.067314645534203
2,0.76820153,0.7232983112335205,0.5018679578167669,0.5843118506039977
3,0.7694934,0.7177642583847046,0.497606048512923,0.6173926899956944
4,0.77060074,0.7742114067077637,0.4950808140776568,0.5670382604126648
5,0.7739227,0.767017126083374,0.48844476380646973,0.5089162304115085
6,0.7748454,0.7194244861602783,0.487635614885839,0.5979235049648448
7,0.7777983,0.7692307829856873,0.48351888017998945,0.4777767708371473
8,0.776045,0.583287239074707,0.4793976707421975,0.7761075779688444
9,0.7770601,0.7764250040054321,0.4807481666195158,0.49436839855898135
10,0.7801052,0.5423353910446167,0.4728713937435817,0.899216825947553
11,0.7859186,0.5500829815864563,0.47036022938154737,0.8539157925749854
12,0.78896374,0.5179855823516846,0.46339638137812983,1.224161671088028
13,0.7878564,0.6535694599151611,0.46596700239084715,0.6620375453007439
14,0.7936698,0.5749861598014832,0.4563677966748699,0.9425410103520835
15,0.7918243,0.6696181297302246,0.4552406547358195,0.6332829420119277
16,0.7927471,0.7188710570335388,0.45076541534547737,0.7073452104610769
17,0.79874504,0.768123984336853,0.44691604946475194,0.4864996461889397
18,0.80262065,0.7791920304298401,0.43818882588168906,0.45754223425347434
19,0.80603486,0.7210846543312073,0.43450854740273065,0.6149516072254123
20,0.8013288,0.5755395889282227,0.43101065886177964,0.9183692125305657
21,0.8054812,0.6906474828720093,0.42721461835047897,0.6095721761231668
22,0.80612713,0.49529606103897095,0.4251920311248774,1.3049136335622904
23,0.80797267,0.8079690337181091,0.4215523810091082,0.4254899456082752
24,0.8137861,0.5174322128295898,0.4135257194097647,1.2257253103778714
25,0.8169235,0.815163254737854,0.40410068742274313,0.43135504753601506
26,0.8255052,0.3741007149219513,0.39565113337814145,0.9565000918667556
27,0.8256898,0.7410072088241577,0.39463880465371015,0.541898842552583
28,0.8263357,0.7194244861602783,0.3899124755849035,0.554201276446154
29,0.83122635,0.5816270112991333,0.38250859301336865,0.7876883871857475
30,0.8349174,0.7443276047706604,0.3700576753202505,0.5324901414630027
31,0.84174585,0.706142783164978,0.35937181985542166,0.5843544323667348
32,0.8401772,0.7360265851020813,0.3646877080111351,0.6246636388838852
33,0.8480207,0.5550636649131775,0.34619270755574305,1.2871539601978836
34,0.85632557,0.7946873307228088,0.3259157307217061,0.45482001165428015
35,0.86269265,0.8157166838645935,0.3170348172056023,0.44458701584836563
36,0.86057025,0.6214720606803894,0.3166432731198002,0.9760670761913308
37,0.8698902,0.7852794528007507,0.3013805250620131,0.5354880436339561
38,0.87524223,0.6187050342559814,0.29077302252216686,0.8960384512160388
39,0.880502,0.8168234825134277,0.2737160752876071,0.4431902973376128
40,0.86575013,0.7945736646652222,0.311468859254203,0.4886018579716434
41,0.8794058,0.8660022020339966,0.28557233004513694,0.29683720339440295
42,0.88438827,0.7912513613700867,0.2764468624717658,0.425157611651278
